Name,Occupation,Experience,Annual Income,Savings,Information,Invest,Insurance,Criteria,Email,Contact,Education
Onkar Bobal,Nurse,2,339264,428608,Newspaper,Stocks,Life Insurance,Low Risk,keya01@yahoo.com,9345591007,Bachelor
Adira Yogi,Nurse,27,1303070,627961,Internet,Gold,Car Insurance,Low Risk,aaryahi64@yahoo.com,7165293267,Masters
Anaya Dhar,Designer,21,1004262,61102,Newspaper,Real Estate,Car Insurance,Low Risk,kairakaul@gmail.com,6192643943,High School
Neelofar Ganesh,Accountant,14,1221502,746737,Friend,Stocks,Car Insurance,Balanced,diya93@bains.com,8320447479,PhD
Madhav Karnik,Nurse,24,659362,642899,Internet,Mutual Funds,Car Insurance,Balanced,aniruddhbanik@hotmail.com,8743879162,Bachelor
Hunar Bahl,Engineer,11,686346,913641,TV,Stocks,Life Insurance,High Return,diya52@hotmail.com,6725550453,High School
Vihaan Mann,Teacher,13,263626,236522,Internet,Bonds,Health Insurance,High Return,karanlakshay@walia.info,9113384734,PhD
Ayesha Kala,Designer,14,1111666,52460,Friend,Bonds,Health Insurance,Low Risk,baljhanvi@dugar.biz,6691912316,PhD
Rati Chowdhury,Accountant,3,586635,838218,Newspaper,Bonds,Car Insurance,Balanced,drishya19@varghese.org,7477330196,Bachelor
Elakshi Kara,Accountant,21,339038,797747,TV,Mutual Funds,Life Insurance,High Return,arorakashvi@agrawal.com,9615922856,High School
Jiya Khurana,Lawyer,19,401176,803829,Internet,Real Estate,Car Insurance,Balanced,kaurkiaan@yahoo.com,9868860436,PhD
Nitya Dara,Teacher,28,729732,578049,Internet,Bonds,Car Insurance,Balanced,rasha34@venkatesh-rajan.biz,8843069613,High School
Saira Dhaliwal,Doctor,17,1424056,565010,Newspaper,Mutual Funds,Health Insurance,High Return,nsinha@yahoo.com,8283171359,Bachelor
Zaina Bhasin,Manager,10,1498403,858421,Friend,Bonds,Car Insurance,High Return,tborde@yahoo.com,8296512306,Bachelor
Hrishita Rao,Teacher,18,683332,617447,Financial Advisor,Mutual Funds,Life Insurance,Low Risk,ychakraborty@hotmail.com,8988433150,Masters
Dishani Bala,Lawyer,30,1497293,467904,Friend,Mutual Funds,Health Insurance,Low Risk,lagan83@hotmail.com,9889535936,Bachelor
Anaya Loke,Doctor,9,907598,312194,Financial Advisor,Real Estate,Travel Insurance,Low Risk,randhawaoorja@chaudhary.com,6848074129,Bachelor
Vihaan Sridhar,Doctor,2,1255237,770101,Financial Advisor,Mutual Funds,Health Insurance,Balanced,agoswami@gmail.com,7155129302,PhD
Dishani Saxena,Nurse,18,497436,113629,Newspaper,Bonds,Life Insurance,High Return,raghavbarad@gopal.org,7931241375,High School
Sara Badal,Lawyer,26,413880,212826,Newspaper,Real Estate,Travel Insurance,High Return,sethivardaniya@bahri.com,7098224057,Bachelor
Himmat Sharma,Accountant,11,1023447,87632,TV,Bonds,Health Insurance,Low Risk,navyasolanki@goda.org,6295660577,PhD
Sahil Gokhale,Engineer,5,1148226,986846,Financial Advisor,Stocks,Life Insurance,Low Risk,cray@gmail.com,6635779198,Bachelor
Aniruddh Sagar,Designer,21,201474,580417,Financial Advisor,Bonds,Health Insurance,High Return,yuvaan19@gmail.com,7620222473,Bachelor
Kismat Jain,Manager,1,488043,631324,Newspaper,Stocks,Life Insurance,Low Risk,vanya58@dalal.org,9565659439,High School
Raunak Mandal,Engineer,24,723401,121722,Newspaper,Stocks,Health Insurance,High Return,nirvaan84@raj.com,9900951659,PhD
Ranbir Sampath,Designer,27,833663,617346,Newspaper,Gold,Travel Insurance,Balanced,dubeyshalv@kanda-magar.com,8897474337,PhD
Eva Chopra,Designer,1,1360021,655740,Internet,Stocks,Health Insurance,Low Risk,adira79@rao.net,9439014228,High School
Ela Dhar,Lawyer,11,791510,465546,Newspaper,Gold,Life Insurance,Low Risk,godaamani@yahoo.com,7487548473,Masters
